new entry "Summon_OdinWater_ConjureIceElemental"
type "SkillData"
data "SkillType" "Summon"
data "ForGameMaster" "Yes"
data "IsEnemySkill" "No"
data "Ability" "Water"
data "Tier" "Novice"
data "ActionPoints" "2"
data "Cooldown" "6"
data "AIFlags" "CanNotUse"
data "Lifetime" "5"
data "SummonLevel" "-1"
data "MemorizationRequirements" "WaterSpecialist 1; Summoning 1"
data "Memory Cost" "1"
data "Magic Cost" "0"
data "Template" "b7ff12a2-e0e8-4607-946d-192c860b559d"
data "TemplateAdvanced" "f0d62f98-2c17-4245-bfe0-a3bf5b9d6553"
data "TemplateOverride" "f0d62f98-2c17-4245-bfe0-a3bf5b9d6553"
data "TargetRadius" "13"
data "SummonCount" "1"
data "Icon" "OBHYDRO_Skill_ConjureIceElemental"
data "DisplayName" "Summon_OdinWater_ConjureIceElemental_DisplayName"
data "DisplayNameRef" "Conjure Ice Elemental"
data "Description" "Summon_OdinWater_ConjureIceElemental_Description"
data "DescriptionRef" "Fabricate an <font color="#cfecff">Ice Elemental</font> at target location. The <font color="#cfecff">Elemental</font> lasts 5 turns and is a bulky support. <br><br>At <font color="#7f25d4">10 Summoning</font>, the <font color="#cfecff">Elemental</font> increases in size and gains additional stats."
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_totem_01_start"
data "PrepareAnimationLoop" "skill_prepare_totem_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Water_Prepare_Air_Root_01,KeepRot,Detach;RS3_FX_Skills_Water_IceSpellHand_Prepare_001:Dummy_L_HandFX,Dummy_R_HandFX"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Water_Ice_Shout_Ground_02;RS3_FX_Skills_Water_WinterBlast_Hand_Cast_001:Dummy_L_HandFX;,Dummy_R_HandFX"
data "CastEffectTextEvent" "cast"
data "TargetCastEffect" "OdinWater_Impact_01"
data "TargetEffect" "OdinWater_Previewer_01"
data "AiCalculationSkillOverride" "Target_DummyTargetSkill"

