new entry "Wall_OdinWater_IceWall"
type "SkillData"
data "SkillType" "Wall"
data "ForGameMaster" "Yes"
data "Ability" "Water"
data "Tier" "Adept"
data "ActionPoints" "2"
data "Cooldown" "5"
data "TargetRadius" "13"
data "MaxDistance" "10"
data "Lifetime" "2"
data "GrowSpeed" "12"
data "GrowTimeout" "0"
data "SurfaceType" "WaterFrozen"
data "TotalSurfaceCells" "7"
data "SurfaceGrowStep" "7"
data "SurfaceGrowInterval" "6"
data "SurfaceStatusChance" "100"
data "Icon" "OBHYDRO_Skill_IceWall"
data "DisplayName" "Wall_OdinWater_IceWall_DisplayName"
data "DisplayNameRef" "Ice Wall"
data "Description" "Wall_OdinWater_IceWall_Description"
data "DescriptionRef" "Draw an impassable wall of <font color="#cfecff">ice</font>, spanning up to [1] and lasting 2 turns. This wall creates a <font color="#cfecff">frozen surface</font>."
data "StatsDescriptionParams" "MaxDistance"
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_totem_01_start"
data "PrepareAnimationLoop" "skill_prepare_totem_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Water_Prepare_Earth_Root_01,KeepRot,Detach:Dummy_Root"
data "CastAnimation" "skill_cast_summon_totem_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Water_Cast_Self_Earth_Root_02:Dummy_Root"
data "SourceTargetEffect" "OdinWater_Preview_Wall"
data "TargetTargetEffect" "OdinWater_Preview_Wall"
data "Template1" "f6c08248-ad4f-4f8c-b92b-72f204812a04"
data "Template2" "63cb7f0c-6888-478f-a0a4-999bbace8232"
data "Template3" "6cba9895-3e9a-4658-9f60-4c0b4db42e35"
data "SpawnEffect" "RS3_FX_Skills_Water_WinterBlast_Base_Cast_001"
data "Memory Cost" "1"
data "Magic Cost" "0"
data "MemorizationRequirements" "WaterSpecialist 3"
data "PreviewEffect" "OdinWater_Preview_Wall"

