new entry "Zone_OdinWater_Waterfall"
type "SkillData"
data "SkillType" "Zone"
data "ForGameMaster" "Yes"
data "Ability" "Water"
data "Tier" "Master"
data "ActionPoints" "3"
data "Cooldown" "5"
data "Damage Multiplier" "70"
data "Damage Range" "10"
data "DamageType" "Water"
data "SkillProperties" "Douse;WET,100,1;IF(Enemy):OdinWater_DROWNING,100,2;"
data "DeathType" "DoT"
data "SurfaceType" "Water"
data "SurfaceStatusChance" "100"
data "SurfaceGrowStep" "3"
data "SurfaceGrowInterval" "6"
data "TargetConditions" "!Dead;"
data "UseWeaponDamage" "No"
data "UseWeaponProperties" "No"
data "CanTargetCharacters" "Yes"
data "CanTargetItems" "Yes"
data "Icon" "OBHYDRO_Skill_Waterfall"
data "DisplayName" "Zone_OdinWater_Waterfall_DisplayName"
data "DisplayNameRef" "Waterfall"
data "Description" "Zone_OdinWater_Waterfall_Description"
data "DescriptionRef" "A wall of roaring water moves across the battlefield, dealing [1] and leaving a <font color="#4197e2">water surface</font> in its wake. <br><br>Hitting an enemy with this skill applies <font color="#4197e2">Drowning</font> for 2 turns, dealing [2] each turn."
data "StatsDescriptionParams" "Damage;Weapon:Damage_OdinWater_Drowning:Damage;"
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_divine_01_start"
data "PrepareAnimationLoop" "skill_prepare_divine_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Water_Prepare_Water_Root_01;OdinWater_Prepare_Hand_01:Dummy_L_HandFX,Dummy_R_HandFX"
data "CastAnimation" "skill_cast_beam_fire_01_cast"
data "CastTextEvent" "castsurface"
data "CastEffect" "OdinWater_Zone_01:Dummy_Custom_Anim;RS3_FX_SubEffects_KrakenRay_WaterErupsion_01:Dummy_Custom_Anim;RS3_FX_SubEffects_KrakenRay_WaterSplashes_01:Dummy_Custom_Anim;"
data "Memory Cost" "1"
data "Magic Cost" "0"
data "MemorizationRequirements" "WaterSpecialist 5"
data "Shape" "Square"
data "BackStart" "18"
data "FrontOffset" "1"
data "Range" "20"
data "Base" "3"
data "CycleConditions" "Enemy;!Dead"

