new entry "HEALING_TEARS"
type "StatusData"
data "StatusType" "ACTIVE_DEFENSE"
data "ForGameMaster" "No"
data "InitiateCombat" "No"
data "DisplayName" "HEALING_TEARS_DisplayName"
data "DisplayNameRef" "Waters of Life"
data "Description" "HEALING_TEARS_Description"
data "DescriptionRef" "Approaching allies will be healed."
data "Icon" "OBHYDRO_Skill_WatersOfLife"
data "FormatColor" "Water"
data "StatusEffect" "RS3_FX_GP_Status_HealingTears_01"
data "StatsId" "Stats_HealingTears"
data "StackId" "Stack_HealingTears"
data "TargetEffect" "RS3_FX_GP_Status_HealingTears_Target_01"
data "Projectile" "Projectile_Status_HealingTear"
data "Radius" "3"
data "Charges" "999"
data "TargetConditions" "Character;Ally|Undead;NonSelf;!HasStatus:HEALING"

